"","Bcells","Others","Tcells","Monocytes"
"CD79A",1.18855430975558,0.767748298158011,0.295219637722554,0.206396281330026
"CD74",0.808428967950037,1.61363932080912,1.04599840643477,0.803945650783094
"HLA-DQA1",1.02960389258717,1.09912603133857,0.346165239087638,0.666989119018492
"HLA-DQB1",0.968223464822914,1.14144425871468,0.394956223117837,0.921093556091177
"MS4A1",1.27826334737041,0.754451185238589,0.260298349994649,0.222804119224578
"CD79B",1.13305264144316,0.741351348613864,0.47086496756377,0.399782732064604
"HLA-DRA",1.03304057260745,1.77528501104805,0.62143933778094,0.897711162600224
"HLA-DPB1",0.971420126818211,1.36401811050833,0.789263259773607,1.12632702054043
"HLA-DRB1",0.921546095399128,1.53641936707693,0.802044406681113,0.953482997494206
"HLA-DPA1",0.957065697752531,1.35540492541851,0.719041822920011,1.12187686349254
"CD37",0.972647759068076,1.03177287825258,0.888173063120258,0.740336408289983
"IGHM",1.96332214269068,0.863908573319926,0.319984128711506,0.310786475298574
"IGHD",1.4814038983653,0.348721606921834,0.158709787165144,0.178936929864509
"BCL11A",0.990051008402135,0.648927649084541,0.162243993998949,0.486441548429137
"LINC00926",1.13936871121419,0.463281286234563,0.18704375099972,0.193378421104105
"FCER2",1.08248831820266,0.216044296475327,0.154944895800229,0.22738263383515
"BANK1",1.08015704317711,0.606025311088874,0.124470981393736,0.236718021237353
"HCST",0.811137892067067,1.16485756119539,1.08953879381818,0.841945401596936
"TCL1A",1.4469227142387,0.408833949751047,0.138285538910735,0.161218833324746
"CD3E",0.542112004634604,1.29808432552265,0.825725314456329,0.316532361625536
"MEF2C",0.96410325155263,0.594366015722886,0.172246193224212,0.772197782460143
"FCRLA",0.877512552879455,0.350783429746009,0.1,0.142003639414984
"ADAM28",0.943383129436848,0.411150697410195,0.149576778384668,0.290633145203488
"HLA-DMA",0.953614092878252,0.92137915474276,0.438296347565124,0.902483638511836
"EAF2",0.925757133565503,0.38836121084551,0.30710679973139,0.481421727808629
"P2RX5",0.999438406729592,0.399408013775474,0.329475760788405,0.193398108125393
"S100A6",1.22622174485021,1.02285208486577,0.960985630272901,0.569890147393043
"HVCN1",0.99198574452689,0.475239596046319,0.333156520164757,0.61238806669716
"S100A4",1.38308524361059,1.18070432272678,1.49235865417852,0.548300913726824
"IRF8",0.990819468618003,0.857001297564969,0.226546845975646,0.699451332318011
"CD19",0.839386866956346,0.284711800032541,0.139483108292784,0.17776744895964
"ANXA1",0.900368129702403,1.13236958364671,1.13835602766912,0.938522478606263
"ITGB2",0.998420203382137,1.02425950570658,0.998461515692035,0.599149995821135
"GIMAP7",0.476980598727022,1.01219527030305,1.03380681784522,0.81713552168265
"PLPP5",1.08035811728767,0.462859183722184,0.427651158178129,0.356876606682782
"RALGPS2",0.976452638075088,0.539228143795578,0.290331513684587,0.28800510904949
"VPREB3",0.969008182318912,0.441895973203789,0.132848252346876,0.140150584807682
"SEL1L3",0.920287532983392,0.590842980435221,0.504296205222799,0.237170117930406
"IL32",0.717110560176523,1.55692655743563,1.09583780482563,0.358072780761014
"SPIB",0.910501939838725,0.562664178722207,0.134587016923171,0.168138434092689
"B2M",0.485168982896891,0.564939311630499,0.504428323109052,0.432823268211886
"HLA-DOB",0.852767035183826,0.349105386618353,0.177720425233143,0.209627912413427
"TPD52",0.857168918931529,0.443016458024203,0.482819070697813,0.169830462547029
"SNX2",0.938031403053142,0.691855313150652,0.602797894247323,0.749112921963667
"S100A11",0.975194409291588,1.07706696726459,1.00145382766872,0.573783051108168
"CD3D",0.40774864140258,0.791755721450792,0.895139260941292,0.317256174938262
"LDHB",0.866850719033027,0.918059854230615,0.922722186898233,0.73167631301971
"JUNB",1.27500413834599,1.18927122358766,1.09087947981793,0.691081541890353
"CD72",0.934157570739501,0.382424439656013,0.230081274039002,0.196287434460041
"TSPAN13",0.919882346800723,0.457897973901942,0.138980589137684,0.124663010540163
"IGKC",2.45878616474307,1.38292471971295,0.752520914063721,0.7185802535023
"CXXC5",0.875694793164289,0.828232480101386,0.42626883211726,0.48395832674401
"IL7R",0.48262619475735,0.377730876356625,1.2662666156692,0.340753161275936
"STX7",0.965446245492184,0.678844363573678,0.445984611185112,0.670428318431847
"VSIR",0.669499980114858,0.84440384427378,0.820371076325894,0.715665694975845
"HLA-DMB",0.960335539458086,0.767890083942029,0.329625154800973,0.853346611137846
"TRAC",0.58284852677982,0.685007063345969,0.946890385115185,0.324703212779043
"FCRL1",0.908824972503932,0.313087131049503,0.193373575493602,0.134111013938834
"BLK",0.852975505265194,0.393351972638148,0.214760628134586,0.133453690151228
"LEPROTL1",0.529154078747206,0.704589402833969,0.941841885253808,0.658978284852214
"MARCH1",0.936696192597534,0.51888089695217,0.172471467917158,0.791258683130437
"POU2F2",0.973312686979316,0.700682781216794,0.609838482426614,0.903734347661497
"S100A10",1.13439564347973,1.10651110754875,1.01510769444704,0.823424539238392
"CTSD",0.607310479028197,1.01896563117376,0.775105289875238,0.815154798263847
"SRGN",1.04352126815138,0.991127757221687,1.02191818781925,0.673640593404783
"LCK",0.565312341834915,1.08926439223364,0.898004760313361,0.269680948923951
"IFITM1",0.489127684697394,1.10828094042784,0.92530629693205,0.268816441252288
"CD40",0.891897440876733,0.41549466555189,0.219377812410392,0.340540615434461
"VIM",1.33210131639318,1.21846322054663,1.00254811088685,0.65563120928226
"IFT57",0.860262351727701,0.480146975008904,0.478332840645832,0.357004849244778
"CD247",0.536880789786492,1.2403372539322,0.918394979481793,0.259348413829821
