"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","MemoryCD4T","NaiveCD8T","MemoryCD8T","NKT","NKcells","Dendritic","CMonocytes","NMonocyte"
"TNFRSF17",0.559695003379256,0.455246023557602,0.1,0.155280227782836,0.127475077246882,0.1,0.14788188751464,0.180412048736406,0.183116425330033,0.386586021044747,0.145642129883609,0.144550777384686
"DERL3",0.604866943847867,0.52545074915435,0.1,0.170002378897055,0.163514001396416,0.1,0.162402964353116,0.1826595032563,0.1,0.824105559738571,0.166133488259486,0.1
"POU2AF1",0.562913389223371,0.742827846085249,0.1,0.16488746274956,0.234318562698514,0.1,0.1,0.156947586096364,0.1,0.588025122470156,0.141843510919241,0.139890071304001
"MZB1",0.618654626393407,0.758610084359382,0.14856695093054,0.217965200420278,0.286695076352828,0.1,0.313455279306646,0.287468851976725,0.304697998934232,0.991261555374139,0.189908842710831,0.180714111920955
"PKHD1L1",0.467541461212588,0.52662970603792,0.1,0.145864863669703,0.1,0.1,0.1,0.1,0.1,0.261679538478054,0.126915135730585,0.1
"TNFRSF13B",0.558550877925531,0.558863438976736,0.1,0.1,0.155091590291531,0.1,0.1,0.1,0.1,0.701628735980806,0.137339893111608,0.154297142322214
"ITM2C",0.576693057934788,0.618924816642148,0.562721488006387,0.438039485122491,0.541962296535068,0.51086023930703,0.431942987577767,0.331837905659873,0.25217277159641,1.22984414398432,0.220829621025121,0.216938457808417
"JCHAIN",1.07872635943382,1.06909588984545,0.14577772014541,0.296640135428195,0.379874699826764,0.223834219927416,0.363108686985435,0.378447131398401,0.391816607636496,1.32814396221599,0.342799307230188,0.275890740984772
"FKBP11",0.515258024065754,0.44724132025068,0.200302237334675,0.548240440750902,0.732940037580111,0.577883894970743,0.863711871595637,0.727110840996283,0.856320913937967,0.431944535556994,0.326764837279153,0.320754324493609
"PDIA4",0.576843690526285,0.576667689903004,0.385704266265748,0.511461374050743,0.59640754787773,0.402540244607635,0.718228458103334,0.625502318552307,0.797087827116882,0.599050675931247,0.550397945431684,0.479210688124666
"IGHA1",2.5,1.03764610588352,0.147447643471269,0.49712820426333,0.594989558968885,0.1,0.583120970816825,0.637994220964226,0.694612235555954,1.00200308469987,0.550986857712399,0.413358732266251
"LMAN1",0.467118473191318,0.540947776642043,0.360852125518129,0.533068152308907,0.617060290259163,0.489448655264029,0.645464138912069,0.556164689770642,0.614658201129031,0.560506047865342,0.410699430899447,0.347930153945185
"SEC11C",0.485998730772326,0.656850532499299,0.421170958475849,0.575742118068386,0.727313704295726,0.434500736348306,0.777333262822143,0.703071459363106,0.815276048979119,0.67070308642435,0.510328144100385,0.545953968380417
"UBE2J1",0.459679326854683,0.791929199441722,0.462854529962602,0.423935032560978,0.534290861428881,0.414027282302422,0.573778879971781,0.523556288954302,0.588929307108801,0.736885871779201,0.742048172933362,0.672057999510162
"TXNDC11",0.587683147000816,0.444372978245619,0.342190996175193,0.378234316117839,0.48208971390398,0.255644007075063,0.504076723971866,0.512597980978697,0.433429711092356,0.407974775292152,0.463252017897075,0.368529900778442
"HSP90B1",0.588457393445922,0.871028174106155,0.570971306046734,0.817560306089499,0.887333220144815,0.636385637358264,0.953612738089081,0.756838082344584,1.03674571984202,0.943416510893247,0.852113283080498,0.713480666542854
"CD38",0.744754845094433,0.393015731127402,0.32324511722044,0.317185762946622,0.253156940144738,0.318423798998411,0.247444007062054,0.470933209652767,0.574923586459767,0.324346237850203,0.258289736682428,0.26813392517476
"CD79A",0.783161520905854,0.727762597432285,0.185271236536881,0.293146721967943,0.328470599084451,0.437095900261208,0.20033132041107,0.300528201028624,0.206757601909424,1.28900858638397,0.196834000121211,0.275595255375525
"HSPA5",0.5916445081159,0.757995248157302,0.613073546768912,0.754549436978953,0.861491617268705,0.674125559111693,0.977410036886143,0.799289733327286,1.0272427017612,0.810369536308225,0.832415464959133,0.730568042223995
"TENT5C",0.521702523354998,0.652997711913566,0.307577273781628,0.355863951317478,0.612112159998193,0.351881240571966,0.691520226665364,0.610652200250737,0.396421081865461,0.416283605521297,0.190087731325599,0.156490597311166
"EAF2",0.640752566774971,0.952494543576627,0.432993109857837,0.326818475969805,0.303132245013458,0.326065026164578,0.276750495543831,0.338600608602016,0.296843001253668,0.547088293673084,0.46987030557524,0.542577825747092
"IGLL5",1.1409370823224,0.503320979572585,0.1,0.1,0.1,0.1,0.1,0.1,0.143910039012677,0.263865004754367,0.1,0.1
"ISG20",0.517995370204071,0.981545393047078,0.396797257575823,0.884211001711351,0.913468450726904,0.747087627909671,0.937126862348945,0.750986748937396,0.96405621375012,0.822836795312763,0.454858447895277,0.533688173851744
"TXNDC5",0.485686805580281,0.198026559885974,0.18515281051456,0.134299942012519,0.173236721146628,0.1,0.152077914847637,0.222995666881188,0.182299484568599,0.188789644702616,0.153990935274077,0.142388149276876
"XBP1",0.74347932486941,0.623580853087842,0.615956083042491,0.755143873417415,0.873361974933262,0.569451349062421,0.971993795400462,0.758964226796279,1.05809947122356,0.755531647780046,0.734836788910315,0.592493681600836
"MANF",0.568078377358658,0.532840515154499,0.391397169610407,0.543533954375307,0.635735822691474,0.574525162400287,0.744528542124741,0.619102241430071,0.833657442070896,0.575937992437541,0.506226497694034,0.476717061001034
"FKBP2",0.501483337987857,0.587137481309696,0.521038133477586,0.577022988354679,0.64777535299125,0.558206417712026,0.755298484233495,0.635433197164811,0.802518359544538,0.726352746075954,0.665905193267812,0.582162216320461
"SDF2L1",0.677808442097567,0.503790641458728,0.438308185444223,0.556898348387012,0.631951133540753,0.46134316866022,0.748666747356591,0.676103497584632,0.875661100289997,0.541799426413349,0.596377610370083,0.558666043515277
"LINC01781",0.636299763286882,0.66266653190682,0.146284002586909,0.1,0.1,0.1,0.1,0.1,0.1,0.69788596537353,0.127430467001398,0.1
"ERLEC1",0.570297862558359,0.480347256024611,0.382170820756654,0.426781080796837,0.497066592161549,0.403816604239763,0.556130508321911,0.505962114988741,0.601010655406244,0.487998661252139,0.416523884895282,0.454829076830942
"JUNB",0.709291510624567,1.2406218584698,0.552042823148099,1.15697906294444,0.990147366154186,0.713067613713862,1.13937033757723,0.878042716470955,1.17233175021214,0.960337975546,0.690415086776533,0.697752879342912
"SEC61B",0.547951378176536,0.831774103505852,0.525067679380352,0.77594642298178,0.875429721822751,0.649887226351693,0.944097244185042,0.821099487775438,0.991904260676574,1.0293539604711,0.779763130835668,0.619784380018016
"MAN1A1",0.504347797337316,0.319836655894871,0.359494215213026,0.224215657620864,0.352667655161933,0.277834202382793,0.502724242188286,0.49114974061207,0.601731577390199,0.459882460690714,0.442197605349683,0.390881439320011
"CALR",0.63694256680163,0.958096110233111,0.602478876487131,0.846021467782901,0.887455241670841,0.741613357883383,1.00642779852653,0.842272256812852,1.1009619289037,0.783371394304791,0.769529571331012,0.736954085448662
"ZBP1",0.495405080558829,0.543501992353223,0.245567542987232,0.333141120607313,0.505564198214067,0.304667915237281,0.587139873368016,0.635873261773106,0.769172576585116,0.372062638434004,0.303344311602938,0.247047351464711
"HRASLS2",0.73901709332855,0.162427438487159,0.1,0.251976484744012,0.207604353855312,0.437019091265355,0.304458821259235,0.279578576156283,0.465962584729827,0.186478655252214,0.125497709014748,0.1
"SELENOS",0.571794330416907,0.517893638452514,0.49756926901056,0.515414191571399,0.625653759021371,0.490671050291655,0.761871648706255,0.688438275192544,0.83651512938152,0.770511507383247,0.650511528698796,0.565259912948664
"SLAMF7",0.432747416322173,0.246847505128274,0.361239927680023,0.1,0.200524034641715,0.1,0.568157182091099,0.607928587413934,0.701095318121986,0.451269453791002,0.248188577323477,0.445427190642379
"SEL1L3",0.575879808830147,0.949262258113102,0.234536562230278,0.35476317190317,0.54911386313878,0.285506759235823,0.58471247796825,0.476915135918203,0.54099231443905,0.688656173348993,0.235918372064065,0.249589696933275
"RPL30",0.570421275991505,0.380325053203695,0.33071273345167,0.307380015462388,0.449035858758838,0.258785630870828,0.397384109427067,0.450545665059115,0.531815406608473,0.417397732213699,0.448257113142153,0.37596806431521
"CD37",0.482894996438239,0.637945692675621,0.517763932197931,0.893178463247253,0.860896959338277,0.736497301789842,0.939969846795045,0.709798031166447,1.01090922842675,0.87677717763704,0.75029755467995,0.605499946071737
"AC012236.1",0.471125018988743,0.382020129924592,0.1,0.1,0.128503120077151,0.1,0.1,0.1,0.1,0.243945831968047,0.144855520207765,0.1
"NT5DC2",0.557127804439669,0.153582698242229,0.308308127966958,0.126992465484557,0.199603359538787,0.1,0.177370209421395,0.185523024366689,0.212845040587753,0.291580494187878,0.303351062414433,0.224321053261173
"PPP1R14A",0.725672828377696,0.760763335741479,0.459372236377145,0.1,0.186928668073445,0.1,0.138463418362577,0.1,0.1,0.710936510951699,0.152110470653545,0.1
"ITGB7",0.655023666048266,0.6319902639624,0.535333416870121,0.616226728415671,0.758820064882288,0.566831385290096,0.836968273326734,0.75043032046735,0.969763330903803,0.598618778925997,0.364803606895604,0.253019660177908
"IGHA2",1.9742464207045,0.701290212446207,0.1,0.230077888989735,0.30142495062412,0.1,0.321924483365279,0.248252803019435,0.277167965068825,0.666523386456905,0.27312340751074,0.226799726925347
"SPATS2",0.493156500032376,0.317374478968401,0.336967005445685,0.285367521317584,0.293485436749872,0.289740147095005,0.328688626273243,0.302085750832047,0.322236097679742,0.38046525688064,0.257187301173819,0.175617226304988
"RPL32",0.572679784901173,0.374041036642443,0.287942236335347,0.297313310237986,0.44450706964909,0.237389287230481,0.442095907407845,0.491035116707214,0.522797520081089,0.432299306088571,0.427632942659008,0.359689476174679
"HM13",0.583023164945416,0.531880595020033,0.526821080774458,0.529364158806316,0.68001388382708,0.477666221622429,0.736077690803335,0.614630681657619,0.7250566266858,0.616946163830859,0.743177055133976,0.629565497908762
"RPS27",0.544802818676986,0.350703296015868,0.299432601608376,0.295961575765862,0.422995163189708,0.247751624370645,0.389112246321191,0.431821416566577,0.460812933331322,0.531427686885825,0.451799209374977,0.365960020778014
"NUCB2",0.538143585007954,0.412074820343975,0.425714676494709,0.835844051830915,0.667231407595618,0.708074883823179,0.754575793308228,0.665601107028221,0.72632309787144,0.661593770799613,0.472609306088716,0.373153566954387
"GNG7",0.537297780486208,0.798810809743644,0.382536814114527,0.232931279969848,0.225656355310595,0.265621160929115,0.210554085717465,0.1,0.150592716798865,0.698634462153888,0.271214042413883,0.181372395728212
"CD27",0.741705086582251,0.584239134243462,0.1,0.895416715888078,0.924805891458639,0.746515828482054,0.88305698889772,0.858601813460502,0.255692365129048,0.647892856360261,0.200164604050518,0.228124448842226
"COBLL1",0.458692890265326,0.749355199928685,0.1,0.1,0.131715574528836,0.1,0.135014306531052,0.211038393790589,0.1,0.729405112340766,0.149846298515576,0.16808036933632
"ITGB2",0.573394077576525,0.937184561187675,0.432918219358122,0.908676762261214,0.942686022162484,0.764765427111029,1.00239712110594,0.643444084632552,0.863495106436187,1.10547727344295,0.60940084261291,0.458951733452611
"PLPP5",0.56626404994529,1.10928682972696,0.377010714757819,0.355394452654737,0.446521273766397,0.193786739681262,0.486852618717072,0.413427837371289,0.454188809014582,0.489551687900806,0.363201452603149,0.279681490699279
"TPD52",0.48211643752033,0.889662573807515,0.222162833477668,0.37741630142823,0.505400172176854,0.302736309111438,0.567500744541611,0.425348263437795,0.38368156187366,0.583201625523208,0.168018080680759,0.186147630770135
"CCR10",0.567001845512451,0.209597519302192,0.170227891105963,0.153441184082886,0.490350065758075,0.1,0.209570532462096,0.216763045496112,0.199227831828139,0.236943211679104,0.177004404322714,0.178426043124229
"RPS12",0.629012763944927,0.434677622783798,0.294668599661066,0.319335973851716,0.48125477111827,0.287304891841052,0.436428868753303,0.482530337523069,0.508752294834982,0.449184419724873,0.478047468285706,0.378229765935584
"DUSP1",0.7865335427076,1.09930430592598,0.601507172280683,1.13966341465642,1.08476215274445,0.90923430297074,1.19149590567915,0.863748025071576,1.19328573296906,1.08128795436798,0.65232209143794,0.6933786644596
"MYBL2",0.550356526165046,0.42068024118626,0.1,0.1,0.17609253336467,0.1,0.1,0.200457878643478,0.155629859744893,0.446377635442354,0.11993871079667,0.1
"LILRB4",0.492975803581904,0.163887344011122,0.484800065212902,0.1,0.173849201351718,0.207761063854569,0.1,0.192417237070678,0.117003523585244,0.722930841308634,0.584690743970565,0.55614135995797
"TSC22D3",0.823180062029849,1.0365332535786,0.715122425753741,1.06511810045473,1.00626988341619,0.809869134017971,1.10572422233179,0.729878328941891,1.1270034621678,0.900098752056462,0.908365327502749,0.762934650681236
"FOS",0.751319307426775,1.44358926572073,0.3904655188387,1.58382235035215,1.36734028878913,0.599224375658031,1.49275310298503,0.980096311376462,1.27838176841606,1.04968446002858,0.577691648816246,0.973432811315976
"HERPUD1",0.661234574949794,0.957588280351254,0.601712879792261,0.729310081460827,0.818065268877957,0.69763583503231,0.897520478442374,0.750113928442438,0.886924753119524,0.942896256823483,0.837417357908603,0.726640832517872
