"","Bcells","CD4Tcells","CD8Tcells","NKTcells","NKcells","Others","Monocytes"
"CD79A",2.37693955802056,0.0680625203700561,0.0303186339781716,0.0776075153743239,0.0182892561769138,1.48849134227809,0.0203617838189366
"CD74",4.31602100440389,1.02913018015627,1.73638869467058,2.18246008849135,1.9149258134201,4.57546710491044,3.37719666879542
"HLA-DQA1",2.41090976450345,0.0415159311428424,0.169487505365704,0.289862250097427,0.284546611309712,2.63656690363345,0.585605575065945
"HLA-DQB1",2.50231466096425,0.0777631588729908,0.21484283702469,0.289862250097427,0.126945564145183,2.94748757444291,1.23925269208262
"MS4A1",2.05314359115029,0.0212926531556843,0.0782147649200502,0.052401677911621,0.0152641814649167,1.45003978797843,0.0263903402726404
"CD79B",1.65360414005162,0.253285037060237,0.182395726231874,0.238225032977673,0.16156301877622,1.31198546672107,0.194289202578014
"HLA-DRA",4.10034184765253,0.272339068934758,0.668891304267131,1.07271732047089,0.78973637594387,4.52810616419976,3.44800632454906
"HLA-DPB1",3.35886213691792,0.448567024999393,1.15031954235033,1.29461703951141,1.3753044126943,3.61321898437361,2.35000016117905
"HLA-DRB1",3.78571199949561,0.380061517501927,1.14753169088563,1.52995717855314,1.41194775910567,3.99943144862808,3.11943021187425
"HLA-DPA1",3.3056996882673,0.37200197290838,0.943022375883305,1.10886296517403,1.2756358898653,3.50670323484089,2.46753504145242
"CD37",2.64153541454906,1.6906276291464,1.63839452015725,1.80787066156914,1.80431703402404,2.3534281045378,1.89950719125042
"IGHM",3.94828543895813,0.0570356245192703,0.0863152941102161,0.114263629236829,0.0538938673816786,1.97606701474765,0.0766931202094767
"IGHD",1.80947355947575,0.00130345069829687,0.0109339078371344,0,0.00307153282941635,0.349110550472999,0.0132822238676367
"BCL11A",0.993230086279299,0.00714804482417564,0.00657468022316418,0,0.00918643961715708,1.31671149460376,0.273239053121849
"LINC00926",1.33838115708882,0.0123147169672827,0.00657468022316418,0.0133600915191788,0.0182892561769138,0.592898078907277,0.0158163955970322
"FCER2",0.949776023606214,0.00390526618979749,0.00657468022316418,0,0.00307153282941635,0.100343825601858,0.045244479040549
"BANK1",1.37415856444038,0.000651937722098765,0.00219636651280864,0.0133600915191788,0,1.05554113751673,0.0318847709434262
"HCST",0.951207644016701,1.60019273633767,2.49225036984329,2.65661586330543,2.89969362666985,1.1307004195856,1.8386686695848
"TCL1A",1.55186011791912,0.00195453948168895,0.00219636651280864,0,0,0.642685749289967,0.00768433688890252
"CD3E",0.344367381427987,2.02725828924045,2.11757325738892,2.28746399294207,2.05196009696285,0.24111967846126,0.0992979300785382
"MEF2C",1.3675765578029,0.00650032980079459,0.023898720193431,0.0133600915191788,0.0392123599033854,1.16283154962665,0.922075169311132
"FCRLA",0.638909364194945,0,0,0,0.00307153282941635,0.339761143383702,0.0020549370835453
"ADAM28",0.84010979505232,0.00195453948168895,0.00438791956994077,0.0265440416723065,0.024312090013306,0.568289223911755,0.0656778535584833
"HLA-DMA",1.81582083239231,0.128350609404983,0.281729000506777,0.385766199799479,0.275245745741767,2.07963497810603,1.48808078465531
"EAF2",1.04599626155222,0.0759514426276685,0.0535118634912805,0.102193607783567,0.0597066442693082,0.418025187827736,0.287999283514543
"P2RX5",0.91701052203542,0.0813767740501978,0.106284104448525,0.102193607783567,0.0122299279021762,0.452179734395843,0.0168282688513412
"S100A6",2.24657165715842,2.12923443832774,2.45406079327617,2.49620769106042,2.72331672549755,2.82358142193955,3.7514733889469
"HVCN1",0.936798365895863,0.078969148760165,0.0659395914336154,0.149623449494584,0.0797893341610311,0.651894377497771,0.51748218755327
"S100A4",2.50730671537457,2.72270503580103,3.28166987414903,3.3898461357997,3.59308877555038,3.08503838561637,3.98084459720867
"IRF8",1.06914814411789,0.0180954923732923,0.0388149051192711,0.0650840113209944,0.153680077910127,1.95387645829712,0.687077910283281
"CD19",0.596987836220693,0.00260520462428998,0.00219636651280864,0.0265440416723065,0,0.220167603904256,0.00564094716204397
"ANXA1",1.43901865126375,1.55260892369206,1.91341585726421,1.77650263267838,1.95054733800969,1.77185133377416,2.33771283150155
"ITGB2",1.5032272293665,1.41074746431321,1.89474697431793,2.27232992630955,2.5349609510495,1.87140922681953,2.58688409347572
"GIMAP7",0.435850416642289,1.68423350549317,1.59071015356826,1.17330416113008,1.45952104850205,0.261641757481439,1.0129218757202
"PLPP5",1.10412944317516,0.149351570285343,0.205934847638304,0.194905200508277,0.192487691555205,0.251433361513476,0.124132132491037
"RALGPS2",0.931705662800315,0.0704965163492054,0.0324494788373292,0.052401677911621,0.024312090013306,0.814397850103835,0.0666405342130556
"VPREB3",0.769746735346185,0.00195453948168895,0.00219636651280864,0,0.00307153282941635,0.568289223911755,0.00461768437200917
"SEL1L3",0.892281243844648,0.205061408385298,0.289989446989974,0.259200958019116,0.2611302091136,0.612158226345546,0.0363578676260394
"IL32",0.625129870867289,2.36511872786456,2.78962568379357,2.95548006326251,2.87309891825658,0.320795936735669,0.128211860826444
"SPIB",0.709658978407132,0.00195453948168895,0,0.0265440416723065,0,0.997245748211653,0.00870446809176238
"B2M",4.49736530024672,4.84405869498841,5.16529115867506,5.30589914590268,5.4961445214836,4.56224143683411,4.61000950734805
"HLA-DOB",0.594947057919006,0.0123147169672827,0.0131064162171825,0.0133600915191788,0.024312090013306,0.3239818876149,0.0273915757305495
"TPD52",0.741037094076795,0.212998424548099,0.291633379540768,0.172520607728928,0.143071885409361,0.349110550472999,0.0102327162942426
"SNX2",1.23727566780927,0.4099356120412,0.413642123788032,0.456372813890669,0.402311491332149,0.96426004705021,0.983931769827047
"S100A11",1.52844187590079,1.30636561700688,1.40675607759549,1.59206248388337,1.72148871835908,1.99179271757655,2.98114701150938
"CD3D",0.18846950571754,1.98578617564698,2.16030044169628,1.57550357069128,1.07564659324935,0.187892660890056,0.104870185043095
"LDHB",1.11268685531833,2.37541874239613,1.6952728952624,1.89848735852863,1.15818252642576,1.35146221624093,0.816476754390234
"JUNB",2.71220678975278,3.30142220982953,3.1333363965099,2.46697080376351,2.24866540827512,2.83681503761815,3.03577498562904
"CD72",0.702346455888205,0.0155303835712091,0.0430361231452371,0.102193607783567,0.0854539387697265,0.275092840867034,0.0213690704639861
"TSPAN13",0.640862454339754,0.00130345069829687,0.00875666938644232,0,0.00613366022663245,0.709768236989321,0.0020549370835453
"IGKC",6.18996222040772,0.573294594727964,0.528869854667199,0.762312911050075,0.688413018050929,3.85319328833817,0.584746230343005
"CXXC5",0.84965626567333,0.0452626831148797,0.379630148608822,0.481615864647635,0.784134674291846,0.860087165558706,0.269711065908587
"IL7R",0.277903923620987,2.51813639529865,2.4270543706349,1.75580514467223,0.16156301877622,0.403442495934153,0.12594740023111
"STX7",1.0256211754716,0.168268463506964,0.200551714381445,0.329334216620615,0.428705179201925,0.839405005555245,0.657142884426285
"VSIR",0.782528982028711,0.789622642857967,0.879385294103636,0.971107586923063,0.814562819767372,1.07524237709534,1.94978210723949
"HLA-DMB",1.45297428134772,0.0477527414480745,0.18422623084919,0.259200958019116,0.126945564145183,1.64782193646462,1.32237772246616
"TRAC",0.356108914376384,2.26859108012467,2.20078981529945,1.84892636383803,0.611337064767568,0.304712125846947,0.115006034368161
"FCRL1",0.648636891356286,0.0110255493852585,0.00219636651280864,0,0,0.265021528664065,0.00359337344262336
"BLK",0.638909364194945,0.00455466371136096,0.057671624030713,0.0395564346326721,0.00307153282941635,0.443749836406069,0.00102799638748194
"LEPROTL1",0.366431338941213,1.48286028862297,1.07518298587308,1.1815908981797,0.631170111270166,0.522407079955494,0.629577536968179
"MARCH1",1.07548522624448,0.011670340920388,0.0109339078371344,0.052401677911621,0.0152641814649167,0.965935430849402,1.07466057505596
"POU2F2",1.28603976808336,0.41296082441791,0.355268318839896,0.36730713033888,0.36243803446513,1.1135173323433,1.53879601077617
"S100A10",1.98911220468199,1.84602497944073,1.96248724012256,1.90050003544553,1.82931745362271,2.41108848919721,2.69360001385528
"CTSD",0.598006665702377,0.614698852601421,0.900157331352389,1.28721921275626,1.65320555482666,0.644995868426733,2.03771678565324
"SRGN",1.76419476856601,1.29945423598656,1.85185379435418,2.22695465245242,2.43826164738692,2.27203918758937,2.93013866102154
"LCK",0.301466429860324,1.49609501901932,1.57262482322069,1.80123127893132,1.73785506542738,0.176898638217411,0.0613342850967678
"IFITM1",0.218682435301962,0.995480817087025,1.10983961591039,1.63754299560964,1.63717738834477,0.127809639851992,0.0535654919236209
"CD40",0.694055440372077,0.0206540382233058,0.0152742150342859,0.0395564346326721,0.0509747589990578,0.452179734395843,0.123677800213768
"VIM",2.88838258587797,2.54919095183431,2.32300449917047,2.33934761550069,2.08078872558839,3.16816449784853,3.42627731483164
"IFT57",0.649604459891594,0.234376910830767,0.232424236078883,0.227569733334661,0.174564715824445,0.385657836558548,0.131824365688137
"CD247",0.321805601101284,1.15034085405596,1.35082602077531,2.11502066646367,2.62379801662558,0.176898638217411,0.0525901353498408
"FAM129C",0.589826816559864,0.00455466371136096,0.00438791956994077,0.0265440416723065,0.00307153282941635,0.621650955414073,0.00972355968739691
"SAMHD1",1.11511843996477,1.0133943579939,0.81142164499529,0.913455007521305,0.840116592197253,1.62556795159448,1.72818392531946
"STRBP",0.602071635112498,0.138622392263232,0.0943507316509537,0.13797521625821,0.0152641814649167,0.454973982190838,0.0333780274517729
"CD7",0.245114970340152,1.31917530666413,1.48792508688648,1.994465665569,2.20723543175605,0.314393421477634,0.117752619425229
"TNFRSF13C",0.910326593936583,0.0402638877229408,0.0493347270393072,0,0.00307153282941635,0.661018980044822,0.0132822238676367
"IL4R",0.979417889419195,0.297353997112281,0.196946792215397,0.205912357250124,0.192487691555205,0.135520423326761,0.296828406059588
"TCF4",0.744561269046205,0.0155303835712091,0.00657468022316418,0.0395564346326721,0.027309958377408,1.58042268098305,0.222265597676725
"GZMM",0.22165412356113,0.797585198828179,1.74218178772789,1.81883927022873,2.14258569671349,0.108268478659101,0.0413046203402851
"FOS",2.889206901707,2.93806884168718,2.94901620801616,1.66590631106919,2.05432876477862,3.33075620416637,3.91852183981974
"LAT",0.155731755717806,1.16570406217203,1.11417865252255,1.27601883462779,1.07249390811505,0.0843035937025897,0.0904111957471267
"ISG20",1.56317281495879,1.28530615403426,1.27513072969166,1.34842220409965,1.10968556496565,0.869348578249339,0.254277636697246
"CYB561A3",0.867702784735959,0.227647720008524,0.221912532371902,0.309792975234878,0.263496678685032,1.08865782812474,0.384236785133245
"PLEKHF2",0.654428309358097,0.190074954521096,0.187877218406671,0.216799674388952,0.195022093599519,0.382662731013938,0.266564593944322
