"","Bcells","CD4Tcells","CD8Tcells","NKTcells","NKcells","Others","Monocytes"
"CD79A",1.18855430975558,0.313007840014416,0.225623134195707,0.300528201028624,0.206757601909424,1.28900858638397,0.206396281330026
"CD74",0.808428967950037,0.919998547032954,1.13925677468107,0.966312291513563,1.1912331390436,0.75871408690872,0.803945650783094
"HLA-DQA1",1.02960389258717,0.260619730245255,0.48271635389134,0.527152530359635,0.566674999637704,1.12297237824923,0.666989119018492
"HLA-DQB1",0.968223464822914,0.327758808123416,0.521466842150187,0.527753502772845,0.396042356035173,1.19281808067468,0.921093556091177
"MS4A1",1.27826334737041,0.230143690204114,0.328999398296171,0.228924029409009,0.196944071420175,1.29123800569605,0.222804119224578
"CD79B",1.13305264144316,0.480816250143397,0.439038755027728,0.456797902472193,0.413540386823031,1.15519270948894,0.399782732064604
"HLA-DRA",1.03304057260745,0.504785664949568,0.810415216360332,0.920005375215049,0.861167363327489,0.801789621098327,0.897711162600224
"HLA-DPB1",0.971420126818211,0.626591906043012,1.01332437236884,0.795104991044868,1.00677394675308,0.799654060280381,1.12632702054043
"HLA-DRB1",0.921546095399128,0.58709518496199,1.08046962787884,0.91801190269789,1.10272383194329,0.825420114640435,0.953482997494206
"HLA-DPA1",0.957065697752531,0.581098446278199,0.915950110145693,0.770187300046691,0.991254027269987,0.73660066661769,1.12187686349254
"CD37",0.972647759068076,0.876875621692191,0.930607877429087,0.709798031166447,1.01090922842675,0.87677717763704,0.740336408289983
"IGHM",1.96332214269068,0.301941852509521,0.364949635517372,0.341428070259715,0.299689506891624,1.48298309638743,0.310786475298574
"IGHD",1.4814038983653,0.136484386771242,0.200686530876814,0.1,0.144824509788512,0.624743057370235,0.178936929864509
"BCL11A",0.990051008402135,0.16553672095913,0.154668258304207,0.1,0.161467100403597,0.96654899181545,0.486441548429137
"LINC00926",1.13936871121419,0.19302478449471,0.168988037020663,0.156947586096364,0.205882241514346,0.780634642378378,0.193378421104105
"FCER2",1.08248831820266,0.156393195177266,0.153210935388369,0.1,0.148199033468541,0.336619254515379,0.22738263383515
"BANK1",1.08015704317711,0.114118389194079,0.139464733522756,0.155656918575635,0.1,0.994664323875985,0.236718021237353
"HCST",0.811137892067067,0.998365420179026,0.868825386580449,0.766016117153841,0.784285378528296,0.846743612395218,0.841945401596936
"TCL1A",1.4469227142387,0.141425040292119,0.129272480461655,0.1,0.1,0.773522449820689,0.161218833324746
"CD3E",0.542112004634604,0.815948882522804,0.8616341751228,0.645313352527877,1.23364318361556,0.421996552216902,0.316532361625536
"MEF2C",0.96410325155263,0.150683006960074,0.213259472814479,0.193578799806169,0.237178488885054,0.751748204378656,0.772197782460143
"FCRLA",0.877512552879455,0.1,0.1,0.1,0.145680909944478,0.606505599221022,0.142003639414984
"ADAM28",0.943383129436848,0.144138318478865,0.158136194962382,0.193204179647205,0.214023071533034,0.657964286498985,0.290633145203488
"HLA-DMA",0.953614092878252,0.379007765593156,0.55090488217045,0.597791049881785,0.52419611649027,0.896680924004786,0.902483638511836
"EAF2",0.925757133565503,0.314279490252165,0.279662842683803,0.338600608602016,0.296843001253668,0.547088293673084,0.481421727808629
"P2RX5",0.999438406729592,0.320921858532069,0.354061498141107,0.322693171850683,0.189573329290273,0.677187864961525,0.193398108125393
"S100A6",1.22622174485021,0.951338229463418,0.922651679700879,0.659315799397684,0.962271697225282,1.19980287347658,0.569890147393043
"HVCN1",0.99198574452689,0.338980794147351,0.308824865665442,0.37726753101483,0.32244642860453,0.682077105779025,0.61238806669716
"S100A4",1.38308524361059,1.50862634362592,1.01504833925082,0.71191135354238,0.847071783319272,1.53918514388256,0.548300913726824
"IRF8",0.990819468618003,0.203760030383286,0.27413985720277,0.272810738820871,0.418893995248625,1.20536731086291,0.699451332318011
"CD19",0.839386866956346,0.139393264835505,0.127386496460612,0.199942231186396,0.1,0.492094002698287,0.17776744895964
"ANXA1",0.900368129702403,1.12634060736799,1.0702128767018,0.804279094825751,1.06853176957657,1.21345704015611,0.938522478606263
"ITGB2",0.998420203382137,0.946252768222863,1.01426860949892,0.643444084632552,0.863495106436187,1.10547727344295,0.599149995821135
"GIMAP7",0.476980598727022,1.02868539948553,1.05230386320275,0.802625477322789,1.04590364357246,0.430495052310843,0.81713552168265
"PLPP5",1.08035811728767,0.409184218062864,0.478116343175622,0.413427837371289,0.454188809014582,0.489551687900806,0.356876606682782
"RALGPS2",0.976452638075088,0.308972461133598,0.222149320227244,0.246407728793418,0.215598202265082,0.893198035986062,0.28800510904949
"VPREB3",0.969008182318912,0.135924804291995,0.123418592180181,0.1,0.146172598932555,0.776745373234783,0.140150584807682
"SEL1L3",0.920287532983392,0.477970100889092,0.575053846994423,0.476915135918203,0.54099231443905,0.688656173348993,0.237170117930406
"IL32",0.717110560176523,1.10867323666033,0.899693240200193,0.637456517832234,1.30111051475756,0.497845715485717,0.358072780761014
"SPIB",0.910501939838725,0.13612954233588,0.1,0.199942231186396,0.1,0.88892188254842,0.168138434092689
"B2M",0.485168982896891,0.479371564214729,0.43568350961631,0.341751201454266,0.359216926319484,0.335893524436254,0.432823268211886
"HLA-DOB",0.852767035183826,0.179406570730893,0.174329899624175,0.156947586096364,0.220617437623616,0.557069914718003,0.209627912413427
"TPD52",0.857168918931529,0.454903769992802,0.558467515674277,0.425348263437795,0.38368156187366,0.583201625523208,0.169830462547029
"SNX2",0.938031403053142,0.60055596998341,0.610882490490765,0.585725381873921,0.613937804713137,0.764048627110554,0.749112921963667
"S100A11",0.975194409291588,1.00013007395191,1.00345116582685,0.777894969154769,1.0539903647893,1.16805463279509,0.573783051108168
"CD3D",0.40774864140258,0.85478706454332,0.963832504280538,1.04622244147873,0.853610641134131,0.413618680640716,0.317256174938262
"LDHB",0.866850719033027,0.766733994494322,0.975230366157828,0.786995396095319,0.948465612638435,0.702176648752384,0.73167631301971
"JUNB",1.27500413834599,1.07075442623269,1.13007143903712,0.878042716470955,1.17233175021214,0.960337975546,0.691081541890353
"CD72",0.934157570739501,0.204404474008891,0.273422766134023,0.352183222883204,0.341167017064562,0.489713810883785,0.196287434460041
"TSPAN13",0.919882346800723,0.120557058279921,0.170449963594378,0.1,0.157602954559126,0.800530551327454,0.124663010540163
"IGKC",2.45878616474307,0.748604440718648,0.765726393535203,0.696528263562333,0.84864703084941,2.0344521916906,0.7185802535023
"CXXC5",0.875694793164289,0.277310313376953,0.632169928433423,0.617802647372096,0.838670566998414,0.743796601128046,0.48395832674401
"IL7R",0.48262619475735,1.17017491716369,1.45406473787316,1.20359993667892,0.335349830781463,0.505195604966626,0.340753161275936
"STX7",0.965446245492184,0.42819142815787,0.484249046863535,0.530084588197445,0.644615023627677,0.667746865484791,0.670428318431847
